date,Weekday,vacances,est_jour_ferie,nom_jour_ferie,nom_vacances
2018-09-22,Samedi,FALSE,FALSE,,
2018-09-23,Dimanche,FALSE,FALSE,,
2018-09-24,Lundi,FALSE,FALSE,,
2018-09-25,Mardi,FALSE,FALSE,,
2018-09-26,Mercredi,FALSE,FALSE,,
2018-09-27,Jeudi,FALSE,FALSE,,
2018-09-28,Vendredi,FALSE,FALSE,,
2018-09-29,Samedi,FALSE,FALSE,,
2018-09-30,Dimanche,FALSE,FALSE,,
2018-10-01,Lundi,FALSE,FALSE,,
2018-10-02,Mardi,FALSE,FALSE,,
2018-10-03,Mercredi,FALSE,FALSE,,
2018-10-04,Jeudi,FALSE,FALSE,,
2018-10-05,Vendredi,FALSE,FALSE,,
2018-10-06,Samedi,FALSE,FALSE,,
2018-10-07,Dimanche,FALSE,FALSE,,
2018-10-08,Lundi,FALSE,FALSE,,
2018-10-09,Mardi,FALSE,FALSE,,
2018-10-10,Mercredi,FALSE,FALSE,,
2018-10-11,Jeudi,FALSE,FALSE,,
2018-10-12,Vendredi,FALSE,FALSE,,
2018-10-13,Samedi,FALSE,FALSE,,
2018-10-14,Dimanche,FALSE,FALSE,,
2018-10-15,Lundi,FALSE,FALSE,,
2018-10-16,Mardi,FALSE,FALSE,,
2018-10-17,Mercredi,FALSE,FALSE,,
2018-10-18,Jeudi,FALSE,FALSE,,
2018-10-19,Vendredi,FALSE,FALSE,,
2018-10-20,Samedi,FALSE,FALSE,,
2018-10-21,Dimanche,True,FALSE,,Vacances dautomne
2018-10-22,Lundi,True,FALSE,,Vacances dautomne
2018-10-23,Mardi,True,FALSE,,Vacances dautomne
2018-10-24,Mercredi,True,FALSE,,Vacances dautomne
2018-10-25,Jeudi,True,FALSE,,Vacances dautomne
2018-10-26,Vendredi,True,FALSE,,Vacances dautomne
2018-10-27,Samedi,True,FALSE,,Vacances dautomne
2018-10-28,Dimanche,True,TRUE,La Toussaint,Vacances dautomne
2018-10-29,Lundi,True,FALSE,,Vacances dautomne
2018-10-30,Mardi,True,FALSE,,Vacances dautomne
2018-10-31,Mercredi,True,FALSE,,Vacances dautomne
2018-11-01,Jeudi,True,TRUE,Anniversaire 1918,Vacances dautomne
2018-11-02,Vendredi,True,FALSE,,Vacances dautomne
2018-11-03,Samedi,True,FALSE,,Vacances dautomne
2018-11-04,Dimanche,True,FALSE,,Vacances dautomne
