Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
18/01/2018;21/08/2018;LG-9411;TXL;SCN;2 PAX;66,00 EUR;88,0;0 PAX;67 PAX
18/01/2018;21/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;21/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;21/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;21/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;21/08/2018;LG-9416;SCN;TXL;2 PAX;20,00 EUR;104,0;0 PAX;67 PAX
18/01/2018;22/08/2018;LG-9411;TXL;SCN;3 PAX;53,00 EUR;146,0;0 PAX;67 PAX
18/01/2018;22/08/2018;LG-9412;SCN;TXL;2 PAX;66,00 EUR;94,0;0 PAX;67 PAX
18/01/2018;22/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;22/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;22/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;22/08/2018;LG-9416;SCN;TXL;1 PAX;33,00 EUR;47,0;0 PAX;67 PAX
18/01/2018;23/08/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;23/08/2018;LG-9412;SCN;TXL;1 PAX;33,00 EUR;47,0;0 PAX;67 PAX
18/01/2018;23/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;23/08/2018;LG-9414;SCN;TXL;2 PAX;66,00 EUR;94,0;0 PAX;67 PAX
18/01/2018;23/08/2018;LG-9415;TXL;SCN;24 PAX;1 176,00 EUR;1 632,0;24 PAX;67 PAX
18/01/2018;23/08/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;24/08/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;24/08/2018;LG-9412;SCN;TXL;1 PAX;10,00 EUR;52,0;0 PAX;67 PAX
18/01/2018;24/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;24/08/2018;LG-9414;SCN;TXL;2 PAX;20,00 EUR;104,0;0 PAX;67 PAX
18/01/2018;24/08/2018;LG-9415;TXL;SCN;3 PAX;30,00 EUR;153,0;0 PAX;67 PAX
18/01/2018;24/08/2018;LG-9416;SCN;TXL;2 PAX;82,00 EUR;112,0;0 PAX;67 PAX
18/01/2018;25/08/2018;LG-9411;TXL;SCN;1 PAX;41,00 EUR;57,0;0 PAX;67 PAX
18/01/2018;25/08/2018;LG-9412;SCN;TXL;1 PAX;41,00 EUR;56,0;0 PAX;67 PAX
18/01/2018;26/08/2018;LG-9413;TXL;SCN;1 PAX;41,00 EUR;57,0;0 PAX;67 PAX
18/01/2018;26/08/2018;LG-9414;SCN;TXL;3 PAX;192,00 EUR;261,0;0 PAX;67 PAX
18/01/2018;26/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;26/08/2018;LG-9416;SCN;TXL;2 PAX;128,00 EUR;174,0;0 PAX;67 PAX
18/01/2018;27/08/2018;LG-9411;TXL;SCN;3 PAX;123,00 EUR;171,0;0 PAX;67 PAX
18/01/2018;27/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;27/08/2018;LG-9413;TXL;SCN;1 PAX;33,00 EUR;44,0;0 PAX;67 PAX
