dprio,nn,bench
83,35.40494252777778,36.23283140453156
84,35.452223402777776,36.12516426438598
85,35.755077847222225,35.97930497650134
86,36.26291023611111,36.4524523207333
87,35.67098358333333,35.73818366461077
88,35.319467583333335,35.85016944932552
89,35.378792777777775,35.903423493066576
90,35.929541944444445,35.94035305056126
91,36.160213875,36.40592420123784
92,36.162593722222226,36.3288470150912
93,36.13676591666667,36.59865333483626
94,36.12772586111111,36.592164944366864
95,36.09065416666667,36.654419324515935
96,35.58517379166667,36.674479644458366
97,35.46168486111111,36.2134562103229
98,35.458140375,36.36126642153407
99,35.79549513888889,36.41206608250747
100,35.751380680555556,36.35166995035509
101,35.71426197222222,36.58184317339538
102,35.71287863888889,36.73031110639423
103,35.460786513888884,36.70647780095274
104,35.807026577777776,36.886894721482065
105,35.69879708333333,37.215253979086576
106,35.981497865277774,37.28775777988288
107,35.93100989583334,37.28851140012857
108,35.61009844305555,36.888231099717245
109,35.79480058055555,37.062443468059456
110,35.32776676388889,37.17474214015197
111,35.386086963888886,37.27151254868384
112,35.41239558333333,37.42407727054719
113,35.41722353611111,37.6451523619484
114,35.19224801666667,37.70863284563555
115,35.13220470833333,37.761845710529265
116,35.320090870277774,37.90085559008344
117,35.54238946152778,37.72134734604024
118,35.77564821369444,37.91492522108122
119,35.918084005555556,38.00326709618394
120,36.00507859305556,37.76596954445631
121,35.7740642375,37.85648583904839
122,35.695285641666665,37.85547375868303
123,35.56484041666667,37.84233294685649
124,35.47773841944445,37.85567858394578
125,35.40798971527778,37.86115325273871
126,35.36647837500001,38.020585638653614
127,35.60345711666667,38.13383391019118
128,35.47325005416667,38.16216555508728
129,35.498558476388894,38.267672635776336
130,35.45725099444444,38.32938947640875
131,35.66337396527778,38.56061928691739
132,35.263008822222226,38.442615237226924
133,35.30659977777778,38.53120630822155
134,35.585867926388886,38.77575000475526
135,35.52377540416667,38.79855843007835
136,35.66345786388889,39.017918271407055
137,35.6042456388889,39.14287698167472
138,35.7521931375,39.33316749203483
139,35.87522919861111,39.323198253237265
140,36.08414604166666,39.581548240643286
141,35.986490744444446,39.79927182999216
142,35.76352716666666,39.77303778346362
143,35.784604027777775,39.94747654334635
144,35.84061038888889,39.96003428990403
145,35.80774612500001,40.21774855766348
146,36.063819190277776,40.353020326967425
147,36.06329413611112,40.49265562004798
148,36.169399075,40.49267673191054
149,36.18261925416667,40.51788928671012
150,35.99588349583334,40.561833799775314
151,36.01834712916666,40.62786393861441
152,36.01814871111112,40.84391165805559
153,36.12016034444444,41.13960010628753
154,36.03660295972222,41.197618750148735
155,36.12699838611111,41.23525373769848
156,36.059704133333334,41.24807833751668
157,36.258908008333336,41.22693680574801
158,36.32687340277778,41.30211210638921
159,36.208057502777784,41.522050241733545
160,36.261667913888886,41.45955454279176
