Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total
03/01/2018;22/04/2018;LG-9415;TXL;SCN;4 PAX
03/01/2018;22/04/2018;LG-9416;SCN;TXL;8 PAX
03/01/2018;23/04/2018;LG-9411;TXL;SCN;2 PAX
03/01/2018;23/04/2018;LG-9412;SCN;TXL;1 PAX
03/01/2018;23/04/2018;LG-9413;TXL;SCN;1 PAX
03/01/2018;23/04/2018;LG-9414;SCN;TXL;1 PAX
03/01/2018;23/04/2018;LG-9415;TXL;SCN;2 PAX
03/01/2018;23/04/2018;LG-9416;SCN;TXL;9 PAX
03/01/2018;24/04/2018;LG-9411;TXL;SCN;20 PAX
03/01/2018;24/04/2018;LG-9412;SCN;TXL;1 PAX
03/01/2018;24/04/2018;LG-9413;TXL;SCN;0 PAX
03/01/2018;24/04/2018;LG-9414;SCN;TXL;0 PAX
03/01/2018;24/04/2018;LG-9415;TXL;SCN;1 PAX
03/01/2018;24/04/2018;LG-9416;SCN;TXL;0 PAX
03/01/2018;25/04/2018;LG-9411;TXL;SCN;1 PAX
03/01/2018;25/04/2018;LG-9412;SCN;TXL;3 PAX
03/01/2018;25/04/2018;LG-9413;TXL;SCN;1 PAX
03/01/2018;25/04/2018;LG-9414;SCN;TXL;0 PAX
03/01/2018;25/04/2018;LG-9415;TXL;SCN;0 PAX
03/01/2018;25/04/2018;LG-9416;SCN;TXL;0 PAX
03/01/2018;26/04/2018;LG-9411;TXL;SCN;4 PAX
03/01/2018;26/04/2018;LG-9412;SCN;TXL;2 PAX
03/01/2018;26/04/2018;LG-9413;TXL;SCN;3 PAX
03/01/2018;26/04/2018;LG-9414;SCN;TXL;22 PAX
03/01/2018;26/04/2018;LG-9415;TXL;SCN;0 PAX
03/01/2018;26/04/2018;LG-9416;SCN;TXL;1 PAX
03/01/2018;27/04/2018;LG-9411;TXL;SCN;13 PAX
03/01/2018;27/04/2018;LG-9412;SCN;TXL;10 PAX
03/01/2018;27/04/2018;LG-9413;TXL;SCN;6 PAX
03/01/2018;27/04/2018;LG-9414;SCN;TXL;0 PAX
03/01/2018;27/04/2018;LG-9415;TXL;SCN;0 PAX
03/01/2018;27/04/2018;LG-9416;SCN;TXL;4 PAX
03/01/2018;28/04/2018;LG-9411;TXL;SCN;9 PAX
03/01/2018;28/04/2018;LG-9412;SCN;TXL;2 PAX
03/01/2018;29/04/2018;LG-9413;TXL;SCN;5 PAX
03/01/2018;29/04/2018;LG-9414;SCN;TXL;0 PAX
03/01/2018;29/04/2018;LG-9415;TXL;SCN;5 PAX
03/01/2018;29/04/2018;LG-9416;SCN;TXL;8 PAX
03/01/2018;30/04/2018;LG-9411;TXL;SCN;3 PAX
03/01/2018;30/04/2018;LG-9412;SCN;TXL;0 PAX
03/01/2018;30/04/2018;LG-9413;TXL;SCN;0 PAX
03/01/2018;30/04/2018;LG-9414;SCN;TXL;0 PAX
03/01/2018;30/04/2018;LG-9415;TXL;SCN;6 PAX
03/01/2018;30/04/2018;LG-9416;SCN;TXL;3 PAX
03/01/2018;01/05/2018;LG-9411;TXL;SCN;0 PAX
03/01/2018;01/05/2018;LG-9412;SCN;TXL;2 PAX
03/01/2018;01/05/2018;LG-9413;TXL;SCN;2 PAX
03/01/2018;01/05/2018;LG-9414;SCN;TXL;7 PAX
03/01/2018;01/05/2018;LG-9415;TXL;SCN;2 PAX
03/01/2018;01/05/2018;LG-9416;SCN;TXL;6 PAX
03/01/2018;02/05/2018;LG-9411;TXL;SCN;4 PAX
03/01/2018;02/05/2018;LG-9412;SCN;TXL;0 PAX
03/01/2018;02/05/2018;LG-9413;TXL;SCN;0 PAX
03/01/2018;02/05/2018;LG-9414;SCN;TXL;1 PAX
03/01/2018;02/05/2018;LG-9415;TXL;SCN;0 PAX
03/01/2018;02/05/2018;LG-9416;SCN;TXL;6 PAX
