Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
10/08/2018;07/09/2018;LG-9414;SCN;TXL;26 PAX;2 735,00 EUR;3 237,0;0 PAX;67 PAX
10/08/2018;07/09/2018;LG-9415;TXL;SCN;49 PAX;3 559,00 EUR;4 197,0;0 PAX;67 PAX
10/08/2018;07/09/2018;LG-9416;SCN;TXL;30 PAX;3 178,00 EUR;3 797,0;0 PAX;67 PAX
10/08/2018;08/09/2018;LG-9411;TXL;SCN;16 PAX;1 021,00 EUR;1 201,0;0 PAX;67 PAX
10/08/2018;08/09/2018;LG-9412;SCN;TXL;30 PAX;1 865,00 EUR;2 178,0;0 PAX;67 PAX
10/08/2018;09/09/2018;LG-9413;TXL;SCN;31 PAX;1 827,00 EUR;2 132,0;0 PAX;67 PAX
10/08/2018;09/09/2018;LG-9414;SCN;TXL;33 PAX;3 190,00 EUR;3 762,0;0 PAX;67 PAX
10/08/2018;09/09/2018;LG-9415;TXL;SCN;31 PAX;1 717,00 EUR;2 004,0;0 PAX;67 PAX
10/08/2018;09/09/2018;LG-9416;SCN;TXL;44 PAX;4 770,00 EUR;5 608,0;0 PAX;67 PAX
10/08/2018;10/09/2018;LG-9411;TXL;SCN;40 PAX;6 229,00 EUR;7 375,0;0 PAX;67 PAX
10/08/2018;10/09/2018;LG-9412;SCN;TXL;22 PAX;1 044,00 EUR;1 242,0;0 PAX;67 PAX
10/08/2018;10/09/2018;LG-9413;TXL;SCN;24 PAX;1 121,00 EUR;1 296,0;0 PAX;67 PAX
10/08/2018;10/09/2018;LG-9414;SCN;TXL;16 PAX;1 015,00 EUR;1 189,0;0 PAX;67 PAX
10/08/2018;10/09/2018;LG-9415;TXL;SCN;42 PAX;3 787,00 EUR;4 494,0;0 PAX;65 PAX
10/08/2018;10/09/2018;LG-9416;SCN;TXL;37 PAX;2 309,00 EUR;2 727,0;0 PAX;67 PAX
10/08/2018;11/09/2018;LG-9411;TXL;SCN;33 PAX;3 206,00 EUR;3 740,0;0 PAX;67 PAX
10/08/2018;11/09/2018;LG-9412;SCN;TXL;15 PAX;669,00 EUR;780,0;0 PAX;67 PAX
10/08/2018;11/09/2018;LG-9413;TXL;SCN;23 PAX;1 233,00 EUR;1 426,0;0 PAX;67 PAX
10/08/2018;11/09/2018;LG-9414;SCN;TXL;21 PAX;2 071,00 EUR;2 420,0;0 PAX;67 PAX
10/08/2018;11/09/2018;LG-9415;TXL;SCN;27 PAX;1 716,00 EUR;1 996,0;0 PAX;67 PAX
10/08/2018;11/09/2018;LG-9416;SCN;TXL;24 PAX;1 134,00 EUR;1 345,0;0 PAX;67 PAX
10/08/2018;12/09/2018;LG-9411;TXL;SCN;31 PAX;3 421,00 EUR;4 016,0;0 PAX;67 PAX
10/08/2018;12/09/2018;LG-9412;SCN;TXL;19 PAX;869,00 EUR;1 016,0;0 PAX;67 PAX
10/08/2018;12/09/2018;LG-9413;TXL;SCN;28 PAX;1 877,00 EUR;2 175,0;0 PAX;67 PAX
10/08/2018;12/09/2018;LG-9414;SCN;TXL;29 PAX;2 368,00 EUR;2 772,0;0 PAX;67 PAX
10/08/2018;12/09/2018;LG-9415;TXL;SCN;26 PAX;1 692,00 EUR;1 994,0;0 PAX;65 PAX
10/08/2018;12/09/2018;LG-9416;SCN;TXL;34 PAX;2 071,00 EUR;2 419,0;0 PAX;67 PAX
10/08/2018;13/09/2018;LG-9411;TXL;SCN;45 PAX;4 219,00 EUR;4 914,0;0 PAX;67 PAX
10/08/2018;13/09/2018;LG-9412;SCN;TXL;22 PAX;1 335,00 EUR;1 564,0;0 PAX;67 PAX
10/08/2018;13/09/2018;LG-9413;TXL;SCN;20 PAX;1 867,00 EUR;2 190,0;0 PAX;67 PAX
10/08/2018;13/09/2018;LG-9414;SCN;TXL;45 PAX;5 937,00 EUR;6 950,0;0 PAX;67 PAX
10/08/2018;13/09/2018;LG-9415;TXL;SCN;34 PAX;2 025,00 EUR;2 394,0;0 PAX;67 PAX
10/08/2018;13/09/2018;LG-9416;SCN;TXL;55 PAX;8 539,00 EUR;10 049,0;0 PAX;65 PAX
10/08/2018;14/09/2018;LG-9411;TXL;SCN;31 PAX;2 509,00 EUR;2 931,0;0 PAX;67 PAX
10/08/2018;14/09/2018;LG-9412;SCN;TXL;31 PAX;1 741,00 EUR;2 080,0;0 PAX;67 PAX
10/08/2018;14/09/2018;LG-9413;TXL;SCN;32 PAX;3 139,00 EUR;3 727,0;0 PAX;67 PAX
10/08/2018;14/09/2018;LG-9414;SCN;TXL;37 PAX;4 325,00 EUR;5 036,0;0 PAX;67 PAX
10/08/2018;14/09/2018;LG-9415;TXL;SCN;51 PAX;3 921,00 EUR;4 629,0;0 PAX;67 PAX
10/08/2018;14/09/2018;LG-9416;SCN;TXL;41 PAX;5 542,00 EUR;6 628,0;0 PAX;65 PAX
10/08/2018;15/09/2018;LG-9411;TXL;SCN;31 PAX;2 226,00 EUR;2 627,0;0 PAX;67 PAX
10/08/2018;15/09/2018;LG-9412;SCN;TXL;20 PAX;1 166,00 EUR;1 353,0;0 PAX;67 PAX
10/08/2018;16/09/2018;LG-9413;TXL;SCN;24 PAX;1 151,00 EUR;1 332,0;0 PAX;67 PAX
10/08/2018;16/09/2018;LG-9414;SCN;TXL;32 PAX;3 238,00 EUR;3 816,0;0 PAX;67 PAX
10/08/2018;16/09/2018;LG-9415;TXL;SCN;29 PAX;1 600,00 EUR;1 875,0;0 PAX;67 PAX
