FltNum,DepDate,DepTime
9412,15/6/2018,08:50:00
9412,16/6/2018,08:50:00
9412,18/6/2018,08:50:00
9412,19/6/2018,08:50:00
9412,20/6/2018,08:50:00
9412,21/6/2018,08:50:00
9412,22/6/2018,08:50:00
9412,23/6/2018,08:50:00
9412,25/6/2018,08:50:00
9412,26/6/2018,08:50:00
9412,27/6/2018,08:50:00
9412,28/6/2018,08:50:00
9412,29/6/2018,08:50:00
9412,30/6/2018,08:50:00
9412,2/7/2018,08:50:00
9412,3/7/2018,08:50:00
9412,4/7/2018,08:50:00
9412,5/7/2018,08:50:00
9412,6/7/2018,08:50:00
9412,7/7/2018,08:50:00
9412,9/7/2018,08:50:00
9412,10/7/2018,08:50:00
9412,11/7/2018,08:50:00
9412,12/7/2018,08:50:00
9412,13/7/2018,08:50:00
9412,14/7/2018,08:50:00
9412,16/7/2018,08:50:00
9412,17/7/2018,08:50:00
9412,18/7/2018,08:50:00
9412,19/7/2018,08:50:00
9412,20/7/2018,08:50:00
9412,21/7/2018,08:50:00
9412,23/7/2018,08:50:00
9412,24/7/2018,08:50:00
9412,25/7/2018,08:50:00
9412,26/7/2018,08:50:00
9412,27/7/2018,08:50:00
9412,28/7/2018,08:50:00
9412,30/7/2018,08:50:00
9412,31/7/2018,08:50:00
9412,1/8/2018,08:50:00
9412,2/8/2018,08:50:00
9412,3/8/2018,08:50:00
9412,4/8/2018,08:50:00
9412,6/8/2018,08:50:00
9412,8/8/2018,08:50:00
9412,9/8/2018,08:50:00
9412,10/8/2018,08:50:00
9412,11/8/2018,08:50:00
9412,13/8/2018,08:50:00
9412,14/8/2018,08:50:00
9412,15/8/2018,08:50:00
9412,16/8/2018,08:50:00
9412,17/8/2018,08:50:00
9412,18/8/2018,08:50:00
9412,20/8/2018,08:50:00
9412,21/8/2018,08:50:00
9412,22/8/2018,08:50:00
9412,23/8/2018,08:50:00
9412,24/8/2018,08:50:00
9412,25/8/2018,08:50:00
9412,27/8/2018,08:50:00
9412,28/8/2018,08:50:00
9412,29/8/2018,08:50:00
9412,30/8/2018,08:50:00
9412,31/8/2018,08:50:00
9412,1/9/2018,08:50:00
9412,3/9/2018,08:50:00
9412,4/9/2018,08:50:00
9412,5/9/2018,08:50:00
9412,6/9/2018,08:50:00
9412,7/9/2018,08:50:00
9412,8/9/2018,08:50:00
9412,10/9/2018,08:50:00
9412,11/9/2018,08:50:00
9412,12/9/2018,08:50:00
9412,13/9/2018,08:50:00
9412,14/9/2018,08:50:00
9412,15/9/2018,08:50:00
9412,17/9/2018,08:50:00
9412,18/9/2018,08:50:00
9412,19/9/2018,08:50:00
9412,20/9/2018,08:50:00
9412,21/9/2018,08:50:00
9412,22/9/2018,08:50:00
9412,24/9/2018,08:50:00
9412,25/9/2018,08:50:00
9412,26/9/2018,08:50:00
9412,27/9/2018,08:50:00
9412,28/9/2018,08:50:00
9412,29/9/2018,08:50:00
9412,1/10/2018,08:50:00
9412,2/10/2018,08:50:00
9412,3/10/2018,08:50:00
9412,4/10/2018,08:50:00
9412,5/10/2018,08:50:00
9412,6/10/2018,08:50:00
9412,8/10/2018,08:50:00
9412,9/10/2018,08:50:00
9412,10/10/2018,08:50:00
9412,11/10/2018,08:50:00
9412,12/10/2018,08:50:00
9412,13/10/2018,08:50:00
9412,15/10/2018,08:50:00
9412,16/10/2018,08:50:00
9412,17/10/2018,08:50:00
9412,18/10/2018,08:50:00
9412,19/10/2018,08:50:00
9412,20/10/2018,08:50:00
9412,22/10/2018,08:50:00
9412,24/10/2018,08:50:00
9412,25/10/2018,08:50:00
9412,26/10/2018,08:50:00
