dprio,nn,bench
85,35.755077847222225,30.474025974025974
86,36.26291023611111,30.582106782106784
87,35.67098358333333,30.26839826839827
88,35.319467583333335,30.35050505050505
89,35.378792777777775,30.52835497835498
90,35.929541944444445,30.756998556998553
91,36.160213875,30.90562770562771
92,36.162593722222226,31.064285714285717
93,36.13676591666667,31.13217893217893
94,36.12772586111111,31.201443001443
95,36.09065416666667,31.374025974025976
96,35.58517379166667,31.267748917748914
97,35.46168486111111,30.695238095238096
98,35.458140375,30.76782106782107
99,35.79549513888889,30.95
100,35.751380680555556,30.598484848484848
101,35.71426197222222,30.75743145743146
102,35.71287863888889,30.601875901875903
103,35.460786513888884,30.66897546897547
104,35.807026577777776,30.905339105339106
105,35.69879708333333,30.687157287157287
106,35.981497865277774,30.846753246753245
107,35.93100989583334,30.64018759018759
108,35.61009844305555,30.217821067821067
109,35.79480058055555,30.445454545454545
110,35.32776676388889,30.700216450216452
111,35.386086963888886,30.487229437229438
112,35.41239558333333,30.56774891774892
113,35.41722353611111,30.81623376623377
114,35.19224801666667,30.83917748917749
115,35.13220470833333,30.730519480519483
116,35.320090870277774,30.589033189033188
117,35.54238946152778,30.48326118326118
118,35.77564821369444,30.695887445887447
119,35.918084005555556,30.77308802308802
120,36.00507859305556,30.533766233766233
121,35.7740642375,30.231529581529582
122,35.695285641666665,30.227705627705628
123,35.56484041666667,30.013997113997114
124,35.47773841944445,29.867676767676766
125,35.40798971527778,29.767676767676765
126,35.36647837500001,29.845454545454544
127,35.60345711666667,29.966955266955267
128,35.47325005416667,29.764574314574315
129,35.498558476388894,29.593073593073598
130,35.45725099444444,29.539466089466092
131,35.66337396527778,29.824819624819625
132,35.263008822222226,29.79047619047619
133,35.30659977777778,29.783116883116882
134,35.585867926388886,29.83167388167388
135,35.52377540416667,29.816666666666663
136,35.66345786388889,29.78232323232323
137,35.6042456388889,29.71320346320346
138,35.7521931375,29.599639249639246
139,35.87522919861111,29.39963924963925
140,36.08414604166666,29.454617604617603
141,35.986490744444446,29.42929292929293
142,35.76352716666666,29.245310245310243
143,35.784604027777775,29.26861471861472
144,35.84061038888889,29.393506493506493
145,35.80774612500001,29.648701298701297
146,36.063819190277776,29.83924963924964
147,36.06329413611112,29.86868686868687
148,36.169399075,29.799927849927855
149,36.18261925416667,29.720490620490622
150,35.99588349583334,29.376695526695528
151,36.01834712916666,29.42063492063492
152,36.01814871111112,29.448268398268397
153,36.12016034444444,29.605988455988456
154,36.03660295972222,29.71168831168831
155,36.12699838611111,29.754906204906202
156,36.059704133333334,29.632323232323234
157,36.258908008333336,29.544877344877346
158,36.32687340277778,29.404184704184708
159,36.208057502777784,29.68838383838384
160,36.261667913888886,29.684487734487732
161,36.46709308333333,29.664141414141415
162,36.527384723194444,29.70836940836941
163,36.65239298333333,29.742352092352093
164,36.65092038611111,29.73751803751804
165,36.62876481916666,29.607936507936508
166,36.47981384805556,29.320634920634923
167,36.23812490277778,29.0494227994228
168,36.04172603652778,28.77106782106782
169,35.96797082819445,28.450649350649353
170,36.14341380902778,28.45266955266955
171,36.15771750333333,28.08347763347763
172,35.894055825972224,27.914862914862912
173,36.01716738055555,27.863347763347768
174,35.93656658319444,27.712337662337664
175,35.77908654583334,27.973953823953828
176,35.75299659527778,27.768542568542568
177,35.68821052458333,27.491341991341994
178,35.49057891416666,27.17965367965368
179,35.38727194402778,27.119769119769124
180,35.447751402777776,27.097619047619048
181,35.67857875138889,27.02186147186147
182,35.59665720618055,27.115800865800864
183,35.480521765,27.064357864357866
184,35.688685427222225,27.22748917748918
185,35.40782904236111,27.117748917748916
186,35.39640972266667,27.560245310245307
187,35.253206748055554,27.22669552669553
188,35.4384834875,27.384271284271286
189,35.17622332222223,27.54119769119769
190,35.13139468055556,27.65988455988456
191,35.28179617777778,27.618398268398266
192,34.866489390277785,27.77857142857143
193,34.79220696069444,27.69069264069264
194,35.00508989583333,27.75808080808081
195,35.403790825,27.774314574314577
196,35.02678935555556,27.712626262626262
197,34.72683043611111,27.415656565656565
198,34.58364609277778,27.030158730158725
199,34.79914948138889,27.11399711399711
200,35.049765861805554,27.69624819624819
201,34.905880580555554,27.443362193362194
202,34.675707700000004,27.29025974025974
203,34.14993363333333,26.762698412698413
204,34.47397323194444,27.045598845598846
205,34.422980144444445,27.719841269841268
206,33.21857976388889,25.62128427128427
207,33.33829467777778,25.833261183261186
208,32.95085492222223,25.863708513708513
209,32.886405036944446,26.173376623376623
210,32.19350470138889,25.71277056277056
211,31.951159978333333,26.07604617604618
212,31.564124640972224,25.475036075036076
213,31.312079712499994,25.322799422799424
214,31.22096762777778,25.376118326118327
215,31.052063501388886,25.275685425685428
216,30.410921105555555,24.944660894660895
217,30.370989208333338,24.890620490620492
218,30.207932111111106,24.895815295815297
219,30.0891644375,24.734415584415583
220,29.746083736111114,24.51911976911977
221,29.603876498611108,24.651154401154404
222,29.238209249999997,24.184704184704184
223,28.65980625,23.913997113997116
224,27.992765733333332,23.31103896103896
225,27.802280380555555,23.056421356421357
226,27.456130290277777,23.301803751803753
227,26.726328652777777,22.6492784992785
228,26.799181818055555,22.54040404040404
229,26.754712106944446,22.75735930735931
230,26.62262036388889,22.897258297258297
231,26.152500461111114,22.900793650793652
232,25.666885758333333,21.976695526695526
233,25.414770091666668,21.860966810966808
234,25.068873125,21.256349206349203
235,24.76881333611111,21.344660894660894
236,24.71253376388889,21.445743145743144
237,24.39719247777778,21.13203463203463
238,24.02735257638889,20.995670995670995
239,23.745322136111113,20.84235209235209
240,23.474194179166666,20.787806637806636
241,23.455804346351353,20.785994397759104
242,23.427038881756754,20.971498599439776
243,23.249887256756757,20.97359943977591
244,22.710158456351348,20.25406162464986
245,21.73930300175676,19.063935574229692
246,22.071812048783784,19.344257703081233
247,22.03754003162162,19.221568627450978
248,21.932904437105265,18.933613445378153
249,22.026813480263158,19.039285714285715
250,21.963568700092107,19.11981792717087
251,21.494927411828947,19.11687675070028
252,21.127235860526316,18.77794117647059
253,21.14054576718421,18.745028011204482
254,19.59388288460526,17.100840336134453
255,18.781187403846154,16.09095238095238
256,18.94916424589744,16.2891156462585
257,18.89451975528205,16.13721088435374
258,17.608510853871,15.143320105820104
259,17.601962562,15.005555555555556
260,17.8140631953125,15.196031746031744
261,16.338021727,15.10978835978836
262,16.55131213378049,15.261325611325612
263,16.398978035414636,15.343758043758044
264,16.03844576292683,15.018790218790222
265,15.076444141911907,13.940225563909774
266,15.199262193333333,13.648182957393484
267,14.92792882259524,13.86654135338346
268,14.376215932294047,13.64918546365915
269,14.019370147697675,13.012454212454212
270,13.798686877279069,12.793528693528692
271,13.426372642093025,12.380219780219779
272,13.20943338215909,12.043214285714285
273,12.656443531022727,12.028214285714286
274,12.914554296363635,11.756785714285716
275,12.161706206575797,11.089880952380952
276,12.00024422572222,10.612195121951219
277,11.781979906222222,10.410917537746805
278,11.779651816222223,10.471602787456446
279,11.274005889826086,10.02545351473923
280,10.789004796847825,10.02828798185941
281,10.66276180095652,9.73044217687075
282,10.452511877434782,9.191893424036282
283,9.929523928712765,8.811517165005538
284,9.841062786702128,8.425359911406423
285,9.526491011627659,8.125359911406424
286,9.512660237114583,7.888419913419915
287,9.271631442857142,7.608359788359788
288,8.856547488509184,7.523544973544973
289,9.194724544591837,7.574761904761904
290,8.8663590752,7.342339544513458
291,8.976089395999999,7.20910973084886
292,8.663844917311001,7.2222567287784685
293,7.907817491034313,6.502634245187437
294,7.653864965038461,6.148412698412699
295,7.562893596634615,5.9511408730158735
296,7.626530698227883,6.024404761904762
297,7.795723081301887,6.485228377065112
298,7.843889203047168,6.559766763848397
299,7.911014978028302,6.526627793974733
300,7.259818916826297,5.772095238095238
301,7.104653483018183,5.588982259570495
302,6.907456653618182,5.598786181139123
303,7.159376530072727,5.738842203548086
304,6.86653190964375,5.6320512820512825
305,6.619662509553572,5.413369963369964
306,6.622014932321429,5.2505494505494505
307,6.472551022289474,5.255256064690028
308,6.371888749034482,5.129894179894181
309,6.506299387794828,5.257495590828925
310,6.507192159301724,5.115828924162257
311,6.408587531249153,4.942294372294372
312,5.747346716491526,4.485497835497836
313,5.6615880609406775,4.611038961038961
314,5.765347687458333,4.512712585034014
315,5.574037092475409,4.394444444444444
316,5.707128688442624,4.387426900584796
317,5.347121444901639,4.359356725146198
318,5.132970281822581,4.072222222222222
319,5.0583825664285715,4.080994152046784
320,5.559419770095238,4.066374269005848
321,5.502949943085937,4.034770114942528
