Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
28/09/2018;06/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
28/09/2018;06/03/2019;LG-9415;TXL;SCN;1 PAX;37,00 EUR;44,0;0 PAX;67 PAX
28/09/2018;06/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
28/09/2018;07/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
28/09/2018;07/03/2019;LG-9412;SCN;TXL;3 PAX;131,00 EUR;154,0;0 PAX;67 PAX
28/09/2018;07/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
28/09/2018;07/03/2019;LG-9414;SCN;TXL;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
28/09/2018;07/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
28/09/2018;07/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
28/09/2018;08/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
28/09/2018;08/03/2019;LG-9412;SCN;TXL;1 PAX;47,00 EUR;55,0;0 PAX;67 PAX
28/09/2018;08/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
28/09/2018;08/03/2019;LG-9414;SCN;TXL;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
28/09/2018;08/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
28/09/2018;08/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
28/09/2018;09/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
28/09/2018;09/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
28/09/2018;10/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
28/09/2018;10/03/2019;LG-9416;SCN;TXL;4 PAX;305,00 EUR;367,0;0 PAX;67 PAX
