dday,Dprio,NumPax,forecast,se_oos,PI_lb,PI_ub
Friday,48,247.0,389.8787598134295,105.21038081502023,179.45799818338904,600.29952144347
Friday,49,222.0,381.3974268678784,83.37638040172519,214.644666064428,548.1501876713287
Friday,50,213.0,373.03865227728244,81.86998729587484,209.29867768553277,536.7786268690321
Friday,51,201.0,364.80064026075485,80.43147110737628,203.93769804600228,525.6635824755074
Friday,52,196.0,356.68162170042547,79.61928984916511,197.44304200209524,515.9202013987557
Friday,53,183.0,348.6798537406711,76.24626873988072,196.18731626090965,501.17239122043253
Friday,54,181.0,340.79361939343477,75.75181743008909,189.2899845332566,492.29725425361295
Friday,55,180.0,333.02122714954436,75.28724314058886,182.44674086836665,483.59571343072207
Friday,56,176.0,325.36101059593693,74.35947895259274,176.64205269075146,474.0799685011224
Friday,57,164.0,317.8113280386976,72.37809171282036,173.05514461305685,462.5675114643383
Friday,58,156.0,310.37056213182416,69.87942359285522,170.61171494611372,450.1294093175346
Friday,59,150.0,303.0371195116309,69.29014971188133,164.45682008786827,441.6174189353936
Friday,60,145.0,295.80943043670294,68.57749944872555,158.65443153925185,432.96442933415403
Friday,61,145.0,288.68594843331726,68.14907900122091,152.38779043087544,424.9841064357591
Friday,62,140.0,281.66514994624634,66.95258203372171,147.75998587880292,415.57031401368977
Friday,63,135.0,274.74553399486217,65.53495029911552,143.67563339663113,405.8154345930932
Friday,64,131.0,267.9256218344588,64.95237366351809,138.02087450742263,397.830369161495
Friday,65,125.0,261.20395662271346,62.64116187114136,135.92163288043076,386.48628036499616
Friday,66,122.0,254.1306123395318,60.940242743811474,132.25012685190887,376.01109782715474
Friday,67,116.0,247.96321940542234,59.418031771335784,129.12715586275078,366.7992829480939
Friday,68,113.0,241.88399826870273,58.52472520194042,124.83454786482189,358.93344867258355
Friday,69,111.0,235.89167042641816,57.34427095547455,121.20312851546906,350.58021233736724
Friday,70,108.0,229.98497617090806,56.80059503157876,116.38378610775054,343.58616623406556
Friday,71,102.0,224.16267430987446,55.69724969482051,112.76817492023343,335.5571736995155
Friday,72,101.0,218.7573655682077,55.36467382000215,108.02801792820338,329.486713208212
Friday,73,101.0,213.4286434352999,55.07363970053899,103.28136403422192,323.5759228363779
Friday,74,94.0,208.1754072635502,54.11624704765846,99.94291316823328,316.4079013588671
Friday,75,95.0,202.99657244685577,53.53367473505349,95.92922297674879,310.0639219169627
