Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
26/10/2017;16/01/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;16/01/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;16/01/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;16/01/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;17/01/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;17/01/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;17/01/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;17/01/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;17/01/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;17/01/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;18/01/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;18/01/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;18/01/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;272,0;0 PAX;67 PAX
26/10/2017;18/01/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;344,0;0 PAX;67 PAX
26/10/2017;18/01/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;388,0;0 PAX;67 PAX
26/10/2017;18/01/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;19/01/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;592,0;0 PAX;67 PAX
26/10/2017;19/01/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;19/01/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;182,0;0 PAX;67 PAX
26/10/2017;19/01/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;19/01/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;305,0;0 PAX;67 PAX
26/10/2017;19/01/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;20/01/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;20/01/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;21/01/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;21/01/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;524,0;0 PAX;67 PAX
26/10/2017;21/01/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;21/01/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;660,0;0 PAX;67 PAX
26/10/2017;22/01/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;138,0;0 PAX;67 PAX
26/10/2017;22/01/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;22/01/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;22/01/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;230,0;0 PAX;67 PAX
26/10/2017;22/01/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;22/01/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;184,0;0 PAX;67 PAX
26/10/2017;23/01/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;23/01/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;23/01/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;23/01/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;23/01/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;23/01/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;24/01/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;24/01/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;24/01/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;24/01/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;24/01/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;24/01/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;25/01/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;184,0;0 PAX;67 PAX
26/10/2017;25/01/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;25/01/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;25/01/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;184,0;0 PAX;67 PAX
26/10/2017;25/01/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;25/01/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;26/01/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;26/01/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;26/01/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;26/01/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;276,0;0 PAX;67 PAX
26/10/2017;26/01/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;138,0;0 PAX;67 PAX
