Route,FltNum,BidPrice,IssueDate,DepDate,yday,dday,dtime,month,Dprio
LUX-BRI,6407,0,2019-05-27,2019-08-16,228,Friday,11:45,8,81.0
LUX-BRI,6407,0,2019-05-28,2019-08-16,228,Friday,11:45,8,80.0
LUX-BRI,6407,135,2019-05-27,2019-08-16,228,Friday,14:35,8,81.0
LUX-BRI,6407,127,2019-05-28,2019-08-16,228,Friday,14:35,8,80.0
LUX-BRI,6407,189,2019-05-27,2019-08-18,230,Sunday,12:05,8,83.0
LUX-BRI,6407,193,2019-05-28,2019-08-18,230,Sunday,12:05,8,82.0
LUX-BRI,6407,465,2019-05-27,2019-08-18,230,Sunday,14:55,8,83.0
LUX-BRI,6407,465,2019-05-28,2019-08-18,230,Sunday,14:55,8,82.0
LUX-BRI,6407,72,2019-05-27,2019-08-20,232,Tuesday,11:45,8,85.0
LUX-BRI,6407,68,2019-05-28,2019-08-20,232,Tuesday,11:45,8,84.0
LUX-BRI,6407,64,2019-05-27,2019-08-20,232,Tuesday,14:35,8,85.0
LUX-BRI,6407,61,2019-05-28,2019-08-20,232,Tuesday,14:35,8,84.0
LUX-BRI,6407,0,2019-05-27,2019-08-23,235,Friday,11:45,8,88.0
LUX-BRI,6407,0,2019-05-28,2019-08-23,235,Friday,11:45,8,87.0
LUX-BRI,6407,212,2019-05-27,2019-08-23,235,Friday,14:35,8,88.0
LUX-BRI,6407,211,2019-05-28,2019-08-23,235,Friday,14:35,8,87.0
LUX-BRI,6407,44,2019-05-27,2019-08-25,237,Sunday,12:05,8,90.0
LUX-BRI,6407,37,2019-05-28,2019-08-25,237,Sunday,12:05,8,89.0
LUX-BRI,6407,456,2019-05-27,2019-08-25,237,Sunday,14:55,8,90.0
LUX-BRI,6407,456,2019-05-28,2019-08-25,237,Sunday,14:55,8,89.0
LUX-BRI,6407,182,2019-05-27,2019-08-27,239,Tuesday,11:45,8,92.0
LUX-BRI,6407,157,2019-05-28,2019-08-27,239,Tuesday,11:45,8,91.0
LUX-BRI,6407,162,2019-05-27,2019-08-27,239,Tuesday,14:35,8,92.0
LUX-BRI,6407,165,2019-05-28,2019-08-27,239,Tuesday,14:35,8,91.0
LUX-BRI,6407,102,2019-05-27,2019-08-30,242,Friday,11:45,8,95.0
LUX-BRI,6407,107,2019-05-28,2019-08-30,242,Friday,11:45,8,94.0
LUX-BRI,6407,319,2019-05-27,2019-08-30,242,Friday,14:35,8,95.0
LUX-BRI,6407,286,2019-05-28,2019-08-30,242,Friday,14:35,8,94.0
LUX-BRI,6407,113,2019-05-27,2019-09-01,244,Sunday,12:05,9,97.0
LUX-BRI,6407,112,2019-05-28,2019-09-01,244,Sunday,12:05,9,96.0
LUX-BRI,6407,261,2019-05-27,2019-09-01,244,Sunday,14:55,9,97.0
LUX-BRI,6407,460,2019-05-28,2019-09-01,244,Sunday,14:55,9,96.0
LUX-BRI,6407,0,2019-05-27,2019-09-03,246,Tuesday,11:45,9,99.0
LUX-BRI,6407,0,2019-05-28,2019-09-03,246,Tuesday,11:45,9,98.0
LUX-BRI,6407,185,2019-05-27,2019-09-03,246,Tuesday,14:35,9,99.0
LUX-BRI,6407,185,2019-05-28,2019-09-03,246,Tuesday,14:35,9,98.0
LUX-BRI,6407,71,2019-05-27,2019-09-06,249,Friday,11:45,9,102.0
LUX-BRI,6407,64,2019-05-28,2019-09-06,249,Friday,11:45,9,101.0
LUX-BRI,6407,238,2019-05-27,2019-09-06,249,Friday,14:35,9,102.0
LUX-BRI,6407,237,2019-05-28,2019-09-06,249,Friday,14:35,9,101.0
LUX-BRI,6407,140,2019-05-27,2019-09-08,251,Sunday,12:05,9,104.0
