Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
27/12/2018;08/01/2019;LG-9413;TXL;SCN;34 PAX;2 303,00 EUR;2 760,0;14 PAX;67 PAX
27/12/2018;08/01/2019;LG-9414;SCN;TXL;13 PAX;893,00 EUR;1 063,0;0 PAX;67 PAX
27/12/2018;08/01/2019;LG-9415;TXL;SCN;10 PAX;456,00 EUR;566,0;0 PAX;67 PAX
27/12/2018;08/01/2019;LG-9416;SCN;TXL;20 PAX;1 195,00 EUR;1 405,0;0 PAX;67 PAX
27/12/2018;09/01/2019;LG-9411;TXL;SCN;23 PAX;1 695,00 EUR;2 040,0;6 PAX;67 PAX
27/12/2018;09/01/2019;LG-9412;SCN;TXL;17 PAX;866,00 EUR;1 026,0;0 PAX;67 PAX
27/12/2018;09/01/2019;LG-9413;TXL;SCN;33 PAX;2 982,00 EUR;3 606,0;0 PAX;67 PAX
27/12/2018;09/01/2019;LG-9414;SCN;TXL;20 PAX;1 054,00 EUR;1 216,0;10 PAX;67 PAX
27/12/2018;09/01/2019;LG-9415;TXL;SCN;19 PAX;919,00 EUR;1 146,0;0 PAX;67 PAX
27/12/2018;09/01/2019;LG-9416;SCN;TXL;21 PAX;1 503,00 EUR;1 840,0;0 PAX;67 PAX
27/12/2018;10/01/2019;LG-9411;TXL;SCN;22 PAX;2 796,00 EUR;3 501,0;0 PAX;65 PAX
27/12/2018;10/01/2019;LG-9412;SCN;TXL;11 PAX;501,00 EUR;607,0;0 PAX;67 PAX
27/12/2018;10/01/2019;LG-9413;TXL;SCN;16 PAX;2 682,00 EUR;3 122,0;0 PAX;67 PAX
27/12/2018;10/01/2019;LG-9414;SCN;TXL;26 PAX;2 575,00 EUR;3 058,0;0 PAX;67 PAX
27/12/2018;10/01/2019;LG-9415;TXL;SCN;16 PAX;859,00 EUR;1 046,0;0 PAX;67 PAX
27/12/2018;10/01/2019;LG-9416;SCN;TXL;27 PAX;2 256,00 EUR;2 696,0;0 PAX;67 PAX
